time [yyyy_doy],time [yyyy-mm-dd],global [Gt],uncertainty_global [Gt],301 [Gt],uncertainty_301 [Gt],302 [Gt],uncertainty_302 [Gt],303 [Gt],uncertainty_303 [Gt],304 [Gt],uncertainty_304 [Gt],305 [Gt],uncertainty_305 [Gt],306 [Gt],uncertainty_306 [Gt],307 [Gt],uncertainty_307 [Gt],308 [Gt],uncertainty_308 [Gt],309 [Gt],uncertainty_309 [Gt],310 [Gt],uncertainty_310 [Gt],311 [Gt],uncertainty_311 [Gt],312 [Gt],uncertainty_312 [Gt],313 [Gt],uncertainty_313 [Gt],314 [Gt],uncertainty_314 [Gt],315 [Gt],uncertainty_315 [Gt],316 [Gt],uncertainty_316 [Gt],317 [Gt],uncertainty_317 [Gt],318 [Gt],uncertainty_318 [Gt],319 [Gt],uncertainty_319 [Gt],320 [Gt],uncertainty_320 [Gt],321 [Gt],uncertainty_321 [Gt],322 [Gt],uncertainty_322 [Gt],323 [Gt],uncertainty_323 [Gt],324 [Gt],uncertainty_324 [Gt],325 [Gt],uncertainty_325 [Gt]
2002_108,2002-04-18,783.5572,39.7671,-185.5918,8.0361,21.7319,3.9759,-92.8456,8.0322,-18.4564,5.4324,-81.2985,6.9977,-63.9005,7.9426,-97.466,8.1312,-116.6008,9.0366,-23.8933,6.4425,20.054,10.0175,-53.7384,9.187,128.2533,10.3563,-36.1566,8.9123,38.4314,5.8446,-9.9794,4.9289,-2.4548,6.373,11.3137,4.5306,-91.537,4.2031,-146.5808,5.4707,343.3762,8.9105,501.1376,9.5865,320.3101,10.6224,165.0327,10.5266,32.8292,8.2482,221.5869,10.2016
2002_129,2002-05-09,1024.7474,39.6618,-143.0508,8.0148,13.9175,3.9653,-61.2555,8.0109,-13.2401,5.418,-70.6948,6.9791,-53.3779,7.9216,-91.215,8.1097,-107.0281,9.0127,-26.6058,6.4254,30.634,9.991,-45.4892,9.1626,139.9907,10.3289,-52.1983,8.8887,45.7821,5.8291,-17.3091,4.9159,14.4955,6.3562,20.0315,4.5186,-88.7263,4.192,-146.3706,5.4562,375.7766,8.8869,514.7867,9.5612,274.9547,10.5943,216.3137,10.4987,44.8329,8.2264,249.7929,10.1746
2002_228,2002-08-16,928.5683,32.0782,-150.1679,6.4823,30.426,3.2071,-84.9035,6.4792,-19.0654,4.382,-45.7729,5.6447,-45.5895,6.407,-87.8541,6.5591,-121.866,7.2894,-19.2826,5.1969,11.139,8.0807,-17.6293,7.4107,135.4355,8.354,-17.9914,7.1891,34.6103,4.7145,-24.7371,3.9759,5.9989,5.1408,16.8646,3.6547,-74.8539,3.3905,-134.7152,4.413,348.4209,7.1877,482.8047,7.733,285.8051,8.5686,184.8797,8.4913,29.9275,6.6535,206.6849,8.2291
2002_258,2002-09-15,1045.5888,40.1956,-170.5825,8.1227,35.6658,4.0187,-74.479,8.1187,-21.7441,5.4909,-32.0139,7.0731,-53.1359,8.0282,-88.1752,8.2189,-119.456,9.134,-17.5212,6.5119,19.8754,10.1255,-35.3269,9.286,132.6822,10.4679,-5.1406,9.0083,35.6285,5.9075,-13.9332,4.982,11.1576,6.4417,19.1964,4.5795,-61.6452,4.2484,-126.2144,5.5297,379.3147,9.0065,491.4216,9.6898,312.8551,10.7369,184.7593,10.64,36.7605,8.3371,205.64,10.3115
2002_289,2002-10-16,1208.1679,29.4714,-153.6786,5.9555,36.2826,2.9465,-40.3099,5.9527,-10.9531,4.0259,-46.8552,5.186,-37.6079,5.8863,-98.1817,6.0261,-87.3465,6.697,-11.2427,4.7745,6.6589,7.424,-43.8296,6.8085,149.4659,7.6751,-20.2192,6.6049,47.6434,4.3314,-6.5599,3.6528,12.7063,4.7231,26.9005,3.3577,-58.4594,3.1149,-113.537,4.0544,384.362,6.6036,504.1893,7.1046,282.7808,7.8723,211.0457,7.8013,54.4778,6.1128,220.4352,7.5604
2002_320,2002-11-16,955.7417,30.7084,-158.8613,6.2055,28.9704,3.0702,-68.4632,6.2025,-19.3224,4.1949,-72.0287,5.4036,-38.5798,6.1333,-121.8543,6.279,-74.0677,6.9781,-11.9322,4.9749,-7.2327,7.7356,-37.4549,7.0942,141.9095,7.9972,-61.3053,6.8821,34.6662,4.5132,-5.9832,3.8061,-1.6859,4.9213,25.3853,3.4986,-50.5837,3.2457,-121.9373,4.2245,378.1267,6.8807,486.088,7.4028,272.9331,8.2027,198.7677,8.1287,38.608,6.3693,201.5794,7.8777
2002_350,2002-12-16,793.4253,39.2568,-181.5137,7.933,36.4864,3.9248,-79.6876,7.9291,-33.9298,5.3627,-55.1928,6.9079,-53.8117,7.8407,-96.9658,8.0269,-105.9599,8.9207,-16.7181,6.3598,1.2994,9.889,-52.7686,9.0691,115.5184,10.2234,-40.1174,8.7979,26.7116,5.7696,-8.3125,4.8657,1.9419,6.2913,30.6428,4.4725,-50.5504,4.1492,-104.106,5.4005,341.2822,8.7962,467.2275,9.4635,289.8735,10.4861,151.9065,10.3915,35.4568,8.1424,174.7126,10.0707
2003_016,2003-01-16,601.2786,49.5939,-190.568,10.0219,27.4745,4.9583,-98.8881,10.017,-33.2929,6.7748,-34.4137,8.7269,-72.1475,9.9053,-103.735,10.1405,-81.1074,11.2696,-17.8184,8.0345,-52.0271,12.493,-64.5222,11.4571,102.4014,12.9155,-46.307,11.1146,43.1351,7.2888,-10.973,6.1469,-13.2589,7.9479,25.8011,5.6502,-53.9815,5.2417,-115.4743,6.8226,338.8527,11.1124,427.0148,11.9555,307.1138,13.2473,140.2585,13.1278,6.4241,10.2864,171.3175,12.7225
2003_046,2003-02-15,762.0696,35.907,-173.0985,7.256,32.3109,3.5899,-89.5918,7.2525,-25.7976,4.9051,-52.913,6.3184,-50.8256,7.1717,-111.2109,7.3419,-120.5365,8.1594,-34.6721,5.8171,17.7962,9.0451,-49.3278,8.2952,115.7835,9.3511,-46.4657,8.0472,54.5556,5.2772,-1.6392,4.4505,-1.7923,5.7544,26.0551,4.0909,-58.2622,3.7951,-91.4942,4.9397,334.3188,8.0456,415.7099,8.656,303.8446,9.5913,153.9314,9.5048,23.4426,7.4476,191.9484,9.2113
2003_075,2003-03-16,661.7075,30.7598,-166.758,6.2159,23.9984,3.0753,-79.2541,6.2129,-13.8179,4.2019,-87.8511,5.4127,-59.2293,6.1436,-117.5056,6.2895,-110.2217,6.9898,-29.7591,4.9833,3.9307,7.7486,-45.3812,7.1061,111.2668,8.0106,-69.9476,6.8936,40.851,4.5208,-3.9862,3.8125,-6.5694,4.9295,15.3926,3.5044,-52.5904,3.2511,-104.1884,4.2316,334.7156,6.8923,435.8058,7.4152,298.9075,8.2164,156.1591,8.1423,26.0895,6.38,161.6504,7.8909
